re-baseline;type;numbering;name;description;extended-id;version;owner;status;priority;date;References;comment;Project Groups and Members;Owner Priority;Tested;Units;Customer Req
current baseline;requirement-folder;1;1. Business Requirements;;EF_3100077;2;RE-Manager;Accepted;Essential;2007-09-01;;n.a.;true;n/a;;n/a;no
current baseline;requirement;1.1;Configure car;"For each vehicle there must be available a complete configuration. This configuration must be selectable.
Invalid configurations must not be offered as user choice.";ER_WHY297;1.8;RE-Manager;Accepted;Essential;2007-10-02;;major change of functionality;true;High;;Sales,Test;yes
current baseline;requirement;1.2;Allow discount;The sales person must be able to give the buyer an individual discount.;ER_WHY298;2.0;RE-Manager;Submitted;Essential;2007-09-03;;n.a.;false;High;;Test,Marketing;no
current baseline;requirement;1.2.1;Automatic discount;When putting together the add-ons, the adjustment of automatic discount levels must be possible.;ER_WHY299;1.2;RE-Manager;Review Complete;Essential;2007-10-04;;improved description;false;Higher;;Marketing;no
current baseline;requirement;1.2.2;Dealer allows discount;The sales person must be able to give the buyer an individual discount. This discount must not respond to other prices reduced by other discounts.;ER_WHY300;3.1;RE-Manager;Review Complete;Essential;2007-09-05;;n.a.;false;Even Higher;;;no
current baseline;requirement-folder;2;2. User Requirements;;EF_3100081;6;RE-Manager;Accepted;Essential;2007-09-06;;n.a.;;n/a;;n/a;no
current baseline;requirement;2.1;Continuous price display;The user must always be able to identify the actual prize of the current selected vehicle configuration.;ER_USER301;1.0;RE-Manager;Submitted;Essential;2007-09-07;;n.a.;false;n/a;;Test,Marketing;yes
current baseline;requirement;2.2;Arbitrary use sequence;The user must not be forced to do the selection of a vehicle configuration in a fixed sequence. The selection process must be commodious.;ER_USER302;1.1;RE-Manager;Submitted;Essential;2007-10-08;;improved wording of name;false;n/a;;Sales,Test;no
current baseline;requirement-folder;3;3. Functional Requirements;;EF_3100078;2;RE-Manager;Accepted;Essential;2007-09-09;;n.a.;;n/a;;n/a;no
current baseline;requirement;3.1;Immediate price calculation;When the user changes the configuration the consequences for the prize must be identifiable at once.;ER_WHAT303;3.1;RE-Manager;Accepted;Essential;2007-09-10;;n.a.;false;n/a;;Test;yes
current baseline;requirement;3.2;Source of basic data;The necessary basic data of an automobile manufacturer must be importable.;ER_WHAT304;2.7;RE-Manager;Review Complete;Useful;2007-10-11;;review completed;false;n/a;;;no
current baseline;requirement;3.2.1;File import;All necessary basic data to configure a vehicle must be importable from a configurations file.;ER_WHAT305;2.2;RE-Manager;Submitted;Essential;2007-10-12;;raised priority;false;n/a;;;no
current baseline;requirement;3.2.2;Import from OEM host;All necessary basic data to configure a vehicle must be importable from a host system of an automobile manufacturer. The imported data must be checked during online import.;ER_WHAT306;1.2;RE-Manager;Submitted;Useful;2007-09-13;;n.a.;false;n/a;;Test,Marketing;yes
current baseline;requirement-folder;4;4. Design Requirements;;EF_3100079;2;RE-Manager;Accepted;Essential;2007-09-14;;n.a.;;n/a;;n/a;no
current baseline;requirement;4.1;normal use;Design requirements regarding the normal use of the application.;ER_DSGN310;1.0;RE-Manager;Submitted;Essential;2007-09-17;;n.a.;false;n/a;;;no
current baseline;requirement;4.1.1;Valid configuration;"The user must be able to notice at any time if he has selected a valid vehicle configuration. Thereby means ""valid"" ""can be ordered"" from the seller.";ER_DSGN307;3.2;RE-Manager;Accepted;Essential;2007-09-15;;n.a.;false;n/a;;Sales,Marketing;no
current baseline;requirement;4.2;administration;Design requirements regarding the administration of the application.;ER_DSGN311;1.0;RE-Manager;Submitted;Essential;2007-09-18;;n.a.;false;n/a;;;yes
current baseline;requirement;4.2.1;Input of basic data;The data, necessary for vehicle configurations, must be given in separate and protected dialogs.;ER_DSGN308;1.0;RE-Manager;Submitted;Desirable;2007-09-16;;n.a.;false;n/a;;Sales;no
