re-baseline;type;numbering;name;description;extended-id;version;owner;status;priority;date;References;comment;Project Groups and Members;Owner Priority;Tested;Units;Customer Req
first draft;requirement-folder;1;1. Business Requirements;;EF_3100077;2;RE-Manager;Accepted;Essential;2007-09-01;;n.a.;true;n/a;;n/a;no
first draft;requirement;1.1;Configure car;For each vehicle there must be available a complete configuration. This configuration must be selectable.;ER_WHY297;1.7;RE-Manager;Accepted;Essential;2007-09-02;;n.a.;true;High;;Sales,Test;yes
first draft;requirement;1.2;Allow discount;The sales person must be able to give the buyer an individual discount.;ER_WHY298;2.0;RE-Manager;Submitted;Essential;2007-09-03;;n.a.;false;High;;Test,Marketing;no
first draft;requirement;1.2.1;Automatic discount;When putting everything together the adjustment of automatic discount levels must be possible.;ER_WHY299;1.1;RE-Manager;Accepted;Essential;2007-09-04;;n.a.;false;Higher;;Marketing;no
first draft;requirement;1.2.2;Dealer allows discount;The sales person must be able to give the buyer an individual discount. This discount must not respond to other prices reduced by other discounts.;ER_WHY300;3.1;RE-Manager;Review Complete;Essential;2007-09-05;;n.a.;false;Even Higher;;;no
first draft;requirement-folder;2;2. User Requirements;;EF_3100081;6;RE-Manager;Accepted;Essential;2007-09-06;;n.a.;;n/a;;n/a;no
first draft;requirement;2.1;Continuous price display;The user must always be able to identify the actual prize of the current selected vehicle configuration.;ER_USER301;1.0;RE-Manager;Submitted;Essential;2007-09-07;;n.a.;false;n/a;;Test,Marketing;yes
first draft;requirement;2.2;No enforced use sequence;The user must not be forced to do the selection of a vehicle configuration in a fixed sequence. The selection process must be commodious.;ER_USER302;1.0;RE-Manager;Submitted;Essential;2007-09-08;;n.a.;false;n/a;;Sales,Test;no
first draft;requirement-folder;3;3. Functional Requirements;;EF_3100078;2;RE-Manager;Accepted;Essential;2007-09-09;;n.a.;;n/a;;n/a;no
first draft;requirement;3.1;Immediate price calculation;When the user changes the configuration the consequences for the prize must be identifiable at once.;ER_WHAT303;3.1;RE-Manager;Accepted;Essential;2007-09-10;;n.a.;false;n/a;;Test;yes
first draft;requirement;3.2;Source of basic data;The necessary basic data of an automobile manufacturer must be importable.;ER_WHAT304;2.7;RE-Manager;Submitted;Useful;2007-09-11;;n.a.;false;n/a;;;no
first draft;requirement;3.2.1;File import;All necessary basic data to configure a vehicle must be importable from a configurations file.;ER_WHAT305;2.1;RE-Manager;Submitted;Useful;2007-09-12;;n.a.;false;n/a;;;no
first draft;requirement;3.2.2;Import from OEM host;All necessary basic data to configure a vehicle must be importable from a host system of an automobile manufacturer. The imported data must be checked during online import.;ER_WHAT306;1.2;RE-Manager;Submitted;Useful;2007-09-13;;n.a.;false;n/a;;Test,Marketing;yes
first draft;requirement-folder;4;4. Design Requirements;;EF_3100079;2;RE-Manager;Accepted;Essential;2007-09-14;;n.a.;;n/a;;n/a;no
first draft;requirement;4.1;Valid configuration;"The user must be able to notice at any time if he has selected a valid vehicle configuration. Thereby means ""valid"" ""can be ordered"" from the seller.";ER_DSGN307;3.2;RE-Manager;Accepted;Essential;2007-09-15;;n.a.;false;n/a;;;no
first draft;requirement;4.2;Input of basic data;The data, necessary for vehicle configurations, must be given in separate and protected dialogs.;ER_DSGN308;1.0;RE-Manager;Submitted;Desirable;2007-09-16;;n.a.;false;n/a;;Sales,Marketing;no
first draft;requirement;4.3;Look&Feel like operating system;The look and feel must correspond to the operating system's look and feel.;ER_DSGN309;1.0;RE-Manager;Submitted;Desirable;2007-09-16;;n.a.;false;n/a;;;yes
